Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01312","Bananas","2021","2021","t","1364","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","24310.01","Beer of barley, malted","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01243","Broad beans and horse beans, green","2021","2021","t","1768.62","E","Estimated value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21513","Buffalo fat, unrendered","2021","2021","t","18.81","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01219.01","Cassava leaves","2021","2021","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01520.01","Cassava, fresh","2021","2021","t","336","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21512","Cattle fat, unrendered","2021","2021","t","114.57","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","2021","t","321","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","2166","Coconut oil","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01460","Coconuts, in shell","2021","2021","t","409.44","E","Estimated value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","2168","Cottonseed oil","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01232","Cucumbers and gherkins","2021","2021","t","1347","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21152","Edible offal of buffalo, fresh, chilled or frozen","2021","2021","t","61.79","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2021","2021","t","297.89","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21156","Edible offal of goat, fresh, chilled or frozen","2021","2021","t","12.8","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21153","Edible offal of pigs, fresh, chilled or frozen","2021","2021","t","4.15","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21155","Edible offal of sheep, fresh, chilled or frozen","2021","2021","t","5.61","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2021","2021","t","543.03","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01233","Eggplants (aubergines)","2021","2021","t","298","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21511.01","Fat of pigs","2021","2021","t","3.15","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21515","Goat fat, unrendered","2021","2021","t","1.83","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01290.01","Green corn (maize)","2021","2021","t","41.02","E","Estimated value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","2162","Groundnut oil","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","0142","Groundnuts, excluding shelled","2021","2021","t","0.08","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","0231","Hen eggs in shell, fresh","2021","2021","t","9846.01","E","Estimated value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5513","Production","0231","Hen eggs in shell, fresh","2021","2021","1000 No","172737","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01322","Lemons and limes","2021","2021","t","67.58","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01214","Lettuce and chicory","2021","2021","t","9.36","E","Estimated value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21700.02","Margarine and shortening","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21112","Meat of buffalo, fresh or chilled","2021","2021","t","805.98","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2021","2021","t","3437.22","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21121","Meat of chickens, fresh or chilled","2021","2021","t","31444.55","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21122","Meat of ducks, fresh or chilled","2021","2021","t","179.23","E","Estimated value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21116","Meat of goat, fresh or chilled","2021","2021","t","41.13","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2021","2021","t","36.21","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21115","Meat of sheep, fresh or chilled","2021","2021","t","30.8","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01270","Mushrooms and truffles","2021","2021","t","16.14","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01950.01","Natural rubber in primary forms","2021","2021","t","268.62","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21691.12","Oil of linseed","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21691.02","Oil of maize","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21691.14","Oil of palm kernel","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21691.07","Oil of sesame seed","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01239.01","Okra","2021","2021","t","437.99","E","Estimated value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","2167","Olive oil","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2021","2021","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01253.01","Onions and shallots, green","2021","2021","t","101.18","E","Estimated value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01323","Oranges","2021","2021","t","456.35","E","Estimated value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01359.90","Other fruits, n.e.c.","2021","2021","t","4524.91","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01290.90","Other vegetables, fresh n.e.c.","2021","2021","t","3769.9","E","Estimated value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","2165","Palm oil","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01651","Pepper (Piper spp.), raw","2021","2021","t","28.5","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01318","Pineapples","2021","2021","t","1240.32","E","Estimated value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01313","Plantains and cooking bananas","2021","2021","t","2","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01235","Pumpkins, squash and gourds","2021","2021","t","617","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21641.01","Rapeseed or canola oil, crude","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","02951.03","Raw hides and skins of buffaloes","2021","2021","t","107.46","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","02951.01","Raw hides and skins of cattle","2021","2021","t","527.04","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","02954","Raw hides and skins of goats or kids","2021","2021","t","24.68","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","02953","Raw hides and skins of sheep or lambs","2021","2021","t","6.05","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","02212","Raw milk of buffalo","2021","2021","t","135.59","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","02211","Raw milk of cattle","2021","2021","t","40.99","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","0113","Rice","2021","2021","t","4100","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21631.02","Safflower-seed oil, crude","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21514","Sheep fat, unrendered","2021","2021","t","1.51","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","2161","Soya bean oil","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01215","Spinach","2021","2021","t","496","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01802","Sugar cane","2021","2021","t","76.28","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21631.01","Sunflower-seed oil, crude","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01530","Sweet potatoes","2021","2021","t","277.78","E","Estimated value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01234","Tomatoes","2021","2021","t","139.25","E","Estimated value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01221","Watermelons","2021","2021","t","294","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","24212.02","Wine","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","01311","Avocados","2021","2021","t","21","E","Estimated value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","01312","Bananas","2021","2021","t","4.07","I","Imputed value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","01520.01","Cassava, fresh","2021","2021","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","21512","Cattle fat, unrendered","2021","2021","t","0.1","I","Imputed value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","2021","t","0.55","I","Imputed value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","01460","Coconuts, in shell","2021","2021","t","1767.75","E","Estimated value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","01610","Coffee, green","2021","2021","t","0.45","I","Imputed value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2021","2021","t","0.43","I","Imputed value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","21156","Edible offal of goat, fresh, chilled or frozen","2021","2021","t","0.16","I","Imputed value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","21153","Edible offal of pigs, fresh, chilled or frozen","2021","2021","t","27.33","I","Imputed value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2021","2021","t","31.97","I","Imputed value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","21511.01","Fat of pigs","2021","2021","t","27.33","I","Imputed value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","21515","Goat fat, unrendered","2021","2021","t","0.02","I","Imputed value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","0231","Hen eggs in shell, fresh","2021","2021","t","36","E","Estimated value",""
"QCL","Crops and livestock products","184","Cook Islands","5513","Production","0231","Hen eggs in shell, fresh","2021","2021","1000 No","900","E","Estimated value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","01322","Lemons and limes","2021","2021","t","0.85","E","Estimated value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","01316","Mangoes, guavas and mangosteens","2021","2021","t","254.08","E","Estimated value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2021","2021","t","2.85","E","Estimated value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","21121","Meat of chickens, fresh or chilled","2021","2021","t","16.27","I","Imputed value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","21116","Meat of goat, fresh or chilled","2021","2021","t","0.81","I","Imputed value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2021","2021","t","410","E","Estimated value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","02910","Natural honey","2021","2021","t","0.97","I","Imputed value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","01323","Oranges","2021","2021","t","8.99","E","Estimated value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","01359.90","Other fruits, n.e.c.","2021","2021","t","268.97","E","Estimated value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","01290.90","Other vegetables, fresh n.e.c.","2021","2021","t","1615.3","I","Imputed value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","01317","Papayas","2021","2021","t","594.49","E","Estimated value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","01318","Pineapples","2021","2021","t","16.75","E","Estimated value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","01321","Pomelos and grapefruits","2021","2021","t","6.32","E","Estimated value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","02951.01","Raw hides and skins of cattle","2021","2021","t","0.39","I","Imputed value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","02954","Raw hides and skins of goats or kids","2021","2021","t","0.14","I","Imputed value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","01530","Sweet potatoes","2021","2021","t","298.67","E","Estimated value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","01324","Tangerines, mandarins, clementines","2021","2021","t","0","I","Imputed value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","01234","Tomatoes","2021","2021","t","280.6","E","Estimated value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","01658","Vanilla, raw","2021","2021","t","0.03","I","Imputed value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","01221","Watermelons","2021","2021","t","63.9","E","Estimated value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","01929.07","Abaca, manila hemp, raw","2021","2021","t","231.25","E","Estimated value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","01312","Bananas","2021","2021","t","30961.85","E","Estimated value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","24310.01","Beer of barley, malted","2021","2021","t","31000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","01520.01","Cassava, fresh","2021","2021","t","74542.32","E","Estimated value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","21512","Cattle fat, unrendered","2021","2021","t","1.74","I","Imputed value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","01640","Cocoa beans","2021","2021","t","600","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","2166","Coconut oil","2021","2021","t","1310","E","Estimated value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","01460","Coconuts, in shell","2021","2021","t","9603","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","01610","Coffee, green","2021","2021","t","4138.5","I","Imputed value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2021","2021","t","8.82","I","Imputed value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","21156","Edible offal of goat, fresh, chilled or frozen","2021","2021","t","8.97","I","Imputed value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","21153","Edible offal of pigs, fresh, chilled or frozen","2021","2021","t","19.69","I","Imputed value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","21155","Edible offal of sheep, fresh, chilled or frozen","2021","2021","t","19.43","I","Imputed value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2021","2021","t","39480.02","E","Estimated value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","21511.01","Fat of pigs","2021","2021","t","15.89","I","Imputed value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","21515","Goat fat, unrendered","2021","2021","t","1.77","I","Imputed value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","0231","Hen eggs in shell, fresh","2021","2021","t","238.9","E","Estimated value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5513","Production","0231","Hen eggs in shell, fresh","2021","2021","1000 No","6287","E","Estimated value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2021","2021","t","48.47","I","Imputed value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","21121","Meat of chickens, fresh or chilled","2021","2021","t","260.25","I","Imputed value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","21116","Meat of goat, fresh or chilled","2021","2021","t","49.3","I","Imputed value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2021","2021","t","177.89","I","Imputed value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","21115","Meat of sheep, fresh or chilled","2021","2021","t","106.78","I","Imputed value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","01491.01","Oil palm fruit","2021","2021","t","41930.49","I","Imputed value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","01491.02","Palm kernels","2021","2021","t","2450","E","Estimated value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","2165","Palm oil","2021","2021","t","5400","E","Estimated value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","01313","Plantains and cooking bananas","2021","2021","t","40918.41","E","Estimated value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","02951.01","Raw hides and skins of cattle","2021","2021","t","8.82","I","Imputed value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","02954","Raw hides and skins of goats or kids","2021","2021","t","10.85","I","Imputed value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","02953","Raw hides and skins of sheep or lambs","2021","2021","t","27.76","I","Imputed value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","21514","Sheep fat, unrendered","2021","2021","t","4.91","I","Imputed value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","01530","Sweet potatoes","2021","2021","t","103098.97","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","0115","Barley","2021","2021","t","65000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","232","Eritrea","5510","Production","01701","Beans, dry","2021","2021","t","120.36","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","24310.01","Beer of barley, malted","2021","2021","t","28000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","232","Eritrea","5510","Production","01702","Broad beans and horse beans, dry","2021","2021","t","312.67","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","22241.01","Butter of cow milk","2021","2021","t","720","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","21512","Cattle fat, unrendered","2021","2021","t","954.98","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","01199.90","Cereals n.e.c.","2021","2021","t","30228.87","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","22251.01","Cheese from whole cow milk","2021","2021","t","720","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","01703","Chick peas, dry","2021","2021","t","3763.37","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2021","2021","t","5026.19","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","21156","Edible offal of goat, fresh, chilled or frozen","2021","2021","t","2195.19","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","21155","Edible offal of sheep, fresh, chilled or frozen","2021","2021","t","1391.14","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","21159.02","Edible offals of camels and other camelids, fresh, chilled or frozen","2021","2021","t","860.94","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2021","2021","t","51132.88","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","21519.02","Fat of camels","2021","2021","t","86.09","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","22241.02","Ghee from cow milk","2021","2021","t","900","E","Estimated value",""
